id,n_steps,swh_max,swh_mean,swell_hs_max,swell_per_max,wave_power_max
jun2019,481,1.96,1.528,1.53,16.59,25.44
jul2019,481,2.41,1.613,1.88,17.76,29.29
jun2020,481,2.04,1.676,2.02,17.79,32.02
jul2020,481,2.1,1.667,1.81,19.27,42.85
may2021,361,1.65,1.359,1.49,17.13,16.77
jun2021,361,1.67,1.433,1.56,17.04,22.23
nov2021,265,1.64,1.284,1.55,18.63,19.8
apr2022,289,2.07,1.425,1.79,18.89,31.37
jun2022,361,1.79,1.416,1.43,16.81,21.56
jul2022,326,2.23,1.755,2.06,17.04,45.37
jun2023,361,2.17,1.355,2.17,16.63,30.36
jul2023,361,2.16,1.126,2.16,17.81,34.32
sep2023,265,2.18,1.542,2.18,15.91,32.8
oct2023,265,1.55,1.237,1.33,17.57,17.57
feb2024,385,1.54,1.182,1.1,16.01,16.07
jan2025,265,1.46,1.176,1.1,18.05,19.04
feb2025,265,1.41,1.163,1.2,17.83,15.07
mar2025,361,1.72,1.239,1.03,15.46,22.3
may2025,265,2.05,1.558,1.84,16.72,27.46
sep2025_market,97,1.71,1.346,1.23,15.33,24.84
jun2025_lawoshime,265,2.3,1.746,2.23,17.84,37.24
may2026_downpour,313,2.02,1.657,1.57,19.01,34.04
jun2026_floodgates,457,2.14,1.606,1.84,16.8,39.0
